INFO  - 2014-09-27 21:28:01.729; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.729; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-09-27 21:28:01.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-09-27 21:28:01.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-09-27 21:28:01.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.730; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-09-27 21:28:01.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-09-27 21:28:01.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-09-27 21:28:01.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-09-27 21:28:01.731; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-09-27 21:28:01.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-09-27 21:28:01.732; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-09-27 21:28:01.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.737; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/dist/solr-cell-4.5.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.739; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.740; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.740; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-09-27 21:28:01.741; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2014-09-27 21:28:01.741; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2014-09-27 21:28:01.742; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-09-27 21:28:01.742; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-09-27 21:28:01.742; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-09-27 21:28:01.744; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/dist/solr-clustering-4.5.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.746; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-09-27 21:28:01.746; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-09-27 21:28:01.747; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/dist/solr-langid-4.5.1.jar' to classloader
INFO  - 2014-09-27 21:28:01.749; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
